City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
79,Hay River,CA,2021-09-23 05:16:08,60.8156,-115.7999,46.38,93,75,6.91
80,Tiksi,RU,2021-09-23 05:16:08,71.6872,128.8694,42.69,66,100,3.31
81,Talara,PE,2021-09-23 05:16:09,-4.5772,-81.2719,64.29,87,49,16.84
82,Mazamet,FR,2021-09-23 05:16:09,43.49,2.373,58.57,92,0,3.44
83,Deputatskiy,RU,2021-09-23 05:16:10,69.3,139.9,39.51,68,97,1.9
84,Yumen,CN,2021-09-23 05:16:10,40.2833,97.2,70.11,21,77,15.7
85,East London,ZA,2021-09-23 05:16:10,-33.0153,27.9116,59.94,77,0,12.66
86,Manjacaze,MZ,2021-09-23 05:16:11,-24.7117,33.8828,65.8,60,7,4.47
87,Te Anau,NZ,2021-09-23 05:16:11,-45.4167,167.7167,58.21,74,85,5.21
88,Wanning,CN,2021-09-23 05:16:12,18.8003,110.3967,83.1,80,100,6.08
89,Ballina,AU,2021-09-23 05:16:12,-28.8667,153.5667,78.98,57,0,11.1
90,Pevek,RU,2021-09-23 05:16:12,69.7008,170.3133,29.35,72,98,4.14
91,Okha,RU,2021-09-23 05:16:13,53.5739,142.9478,54.09,71,87,12.5
92,Matara,LK,2021-09-23 05:16:13,5.9485,80.5353,86.52,67,38,12.66
93,Punta Arenas,CL,2021-09-23 05:16:14,-53.15,-70.9167,39.31,75,0,18.41
94,Saskylakh,RU,2021-09-23 05:16:14,71.9167,114.0833,34.65,100,100,6.4
95,Clyde River,CA,2021-09-23 05:16:15,70.4692,-68.5914,29.19,88,99,12.08
96,Faya,SA,2021-09-23 05:16:15,18.3851,42.4509,72.12,20,13,0.51
97,Richards Bay,ZA,2021-09-23 05:16:15,-28.783,32.0377,61.16,72,0,11.48
98,Faanui,PF,2021-09-23 05:16:16,-16.4833,-151.75,77.72,71,4,8.34
99,Airai,TL,2021-09-23 05:16:16,-8.9266,125.4092,77.88,34,54,4.27
100,Puerto Ayora,EC,2021-09-23 05:16:17,-0.7393,-90.3518,69.19,90,92,9.01
101,Rocha,UY,2021-09-23 05:16:17,-34.4833,-54.3333,51.8,87,100,6.15
102,Chuy,UY,2021-09-23 05:16:18,-33.6971,-53.4616,55.33,79,100,7.23
103,Bambous Virieux,MU,2021-09-23 05:16:18,-20.3428,57.7575,74.21,68,40,14.97
104,Mahibadhoo,MV,2021-09-23 05:16:19,3.7833,72.9667,83.75,75,100,13.73
105,Touros,BR,2021-09-23 05:16:19,-5.1989,-35.4608,76.1,87,11,8.1
106,Torbay,CA,2021-09-23 05:16:20,47.6666,-52.7314,58.57,92,40,12.66
107,Kirakira,SB,2021-09-23 05:16:20,-10.4544,161.9205,82.33,77,43,6.69
108,Provideniya,RU,2021-09-23 05:16:21,64.3833,-173.3,32.11,64,75,4.47
109,Arraial Do Cabo,BR,2021-09-23 05:16:21,-22.9661,-42.0278,65.8,68,96,11.16
110,Saint-Philippe,RE,2021-09-23 05:16:22,-21.3585,55.7679,75.22,79,61,12.01
111,Tuktoyaktuk,CA,2021-09-23 05:16:22,69.4541,-133.0374,35.6,64,90,9.22
112,Marsabit,KE,2021-09-23 05:16:22,2.3284,37.9899,64.15,69,70,24.02
113,Kapoeta,SS,2021-09-23 05:16:23,4.7717,33.5903,80.04,53,90,12.5
114,Cayenne,GF,2021-09-23 05:16:23,4.9333,-52.3333,80.1,86,20,0.0
115,Sagua La Grande,CU,2021-09-23 05:16:24,22.8067,-80.0756,76.19,90,79,4.65
116,Pochutla,MX,2021-09-23 05:16:24,15.7432,-96.4661,77.83,82,19,4.0
117,Tateyama,JP,2021-09-23 05:16:24,34.9833,139.8667,84.22,68,2,18.14
118,Saldanha,ZA,2021-09-23 05:16:25,-33.0117,17.9442,55.45,88,15,7.25
119,High Level,CA,2021-09-23 05:16:25,58.5169,-117.136,44.71,70,75,9.22
120,Imbituba,BR,2021-09-23 05:15:42,-28.24,-48.6703,60.69,71,60,4.74
121,Sitka,US,2021-09-23 05:16:26,57.0531,-135.33,49.89,66,90,13.8
122,Souillac,MU,2021-09-23 05:16:26,-20.5167,57.5167,74.35,68,40,14.97
123,San Isidro,PE,2021-09-23 05:16:27,-12.1167,-77.05,59.5,88,75,6.91
124,Carayao,PY,2021-09-23 05:16:27,-25.1833,-56.4,67.1,61,50,3.71
125,Hammerfest,NO,2021-09-23 05:16:28,70.6634,23.6821,48.65,76,75,10.36
