,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
569,Rock Sound,BS,81.75,overcast clouds,24.9,-76.2,Rock Sound Club
573,Samarai,PG,79.18,scattered clouds,-10.6167,150.6667,Nuli Sapi
575,Gwanda,ZW,79.29,light rain,-20.9333,29.0,Mafax Homeways
584,Sorong,ID,78.6,overcast clouds,-0.8833,131.25,waigo splash hotel
593,Sola,VU,77.32,overcast clouds,-13.8833,167.55,Leumerus Bungalows
596,Ukiah,US,83.97,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
605,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
606,Belmonte,BR,84.7,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
608,Mangrol,IN,81.05,scattered clouds,21.1167,70.1167,Hotel The Royal Honours
609,Auki,SB,77.31,broken clouds,-8.7676,160.7034,Auki Motel
610,Puerto Ayacucho,VE,87.71,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
613,Monywa,MM,78.28,overcast clouds,22.1167,95.1333,Monywa Hotel
614,Twentynine Palms,US,84.06,scattered clouds,34.1356,-116.0542,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
615,Mandal,IN,79.21,few clouds,25.45,74.5667,पीपी वाले हनुमान जी
618,Tangier,MA,78.06,broken clouds,35.7806,-5.8137,Hotel Rembrandt
620,Benicarlo,ES,75.25,few clouds,40.4165,0.4271,El Pinche De Oro
624,Pizarro,CO,82.09,broken clouds,4.9533,-77.366,Hotel Limonar
626,Oran,DZ,82.33,clear sky,35.6911,-0.6417,The Adress Residence SM
628,Kutum,SD,85.44,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
633,Sungairaya,ID,77.63,moderate rain,0.7,108.9,Mess P.Milu
641,Dicabisagan,PH,77.45,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
642,Norton,ZW,78.28,broken clouds,-17.8833,30.7,Chingwara Mansion
643,Morehead,US,76.95,clear sky,37.2711,-87.1764,CCI Express Inn
648,Pontianak,ID,78.78,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
652,Madimba,TZ,75.56,clear sky,-10.4,40.3333,NaN
653,Soto La Marina,MX,84.78,overcast clouds,23.7667,-98.2167,Hotel Chicago
655,Sikonge,TZ,81.97,scattered clouds,-5.6333,32.7667,Pretoria 2 Lodge
656,Navalgund,IN,79.88,broken clouds,15.5667,75.3667,Naveen Park Hotel
659,Isla Mujeres,MX,87.85,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
660,Garissa,KE,84.42,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
664,Kyaikkami,MM,80.74,overcast clouds,16.08,97.5675,St. joseph catholic church
