City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
618,618,Neosho,US,2021-10-02 04:21:32,36.869,-94.368,71.83,66,99,5.86,overcast clouds
621,621,Morros,BR,2021-10-02 04:24:02,-9.4467,-46.3003,77.56,62,63,2.53,broken clouds
623,623,Mocuba,MZ,2021-10-02 04:24:03,-16.8392,36.9856,71.15,82,31,3.53,scattered clouds
627,627,Ejura,GH,2021-10-02 04:24:05,7.3856,-1.3562,72.39,97,100,4.03,light rain
636,636,Vila Franca Do Campo,PT,2021-10-02 04:24:08,37.7167,-25.4333,72.01,91,31,6.24,scattered clouds
639,639,Piacabucu,BR,2021-10-02 04:24:09,-10.4056,-36.4344,75.54,86,4,10.98,clear sky
643,643,Teahupoo,PF,2021-10-02 04:24:11,-17.8333,-149.2667,75.16,74,33,19.98,scattered clouds
646,646,Uwajima,JP,2021-10-02 04:24:13,33.2238,132.56,76.96,49,0,8.16,clear sky
649,649,Ilam,NP,2021-10-02 04:24:14,26.9167,87.9167,71.37,86,100,0.38,light rain
654,654,Erzin,TR,2021-10-02 04:24:16,36.9559,36.2,64.99,48,0,3.18,clear sky
656,656,Yatou,CN,2021-10-02 04:24:17,37.15,122.3833,72.9,64,1,9.71,clear sky
657,657,Morgan City,US,2021-10-02 04:24:17,29.6994,-91.2068,77.02,100,1,3.44,clear sky
658,658,Puerto Leguizamo,CO,2021-10-02 04:24:18,-0.1934,-74.7819,73.81,88,66,2.21,broken clouds
660,660,Puerto Del Rosario,ES,2021-10-02 04:24:18,28.5004,-13.8627,73.08,94,2,10.36,clear sky
661,661,Misratah,LY,2021-10-02 04:24:19,32.3754,15.0925,73.71,72,0,0.27,clear sky
666,666,Brainerd,US,2021-10-02 04:24:21,46.358,-94.2008,66.45,94,90,0.0,mist
674,674,Christchurch,NZ,2021-10-02 04:20:44,-43.5333,172.6333,62.47,68,97,4.0,overcast clouds
675,675,Wajir,KE,2021-10-02 04:24:27,1.7471,40.0573,73.67,72,100,12.66,overcast clouds
676,676,Port Macquarie,AU,2021-10-02 04:24:27,-31.4333,152.9167,69.76,69,77,3.29,broken clouds
679,679,Camapua,BR,2021-10-02 04:24:28,-19.5314,-54.0439,75.7,70,19,1.99,few clouds
680,680,Lincoln,US,2021-10-02 04:24:28,40.8,-96.667,66.27,85,90,1.01,overcast clouds
681,681,Curup,ID,2021-10-02 04:24:29,-3.4667,102.5333,79.74,72,100,2.06,overcast clouds
684,684,Mumford,GH,2021-10-02 04:24:30,5.2618,-0.759,76.64,87,100,5.39,light rain
687,687,Sungairaya,ID,2021-10-02 04:24:32,0.7,108.9,77.67,75,100,7.52,light rain
