City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
124,Kawalu,ID,2021-10-02 04:19:52,-7.3817,108.2082,85.87,50,88,5.93,overcast clouds
125,Haines Junction,CA,2021-10-02 04:19:53,60.7522,-137.5108,37.35,93,100,2.3,overcast clouds
126,Kruisfontein,ZA,2021-10-02 04:19:53,-34.0033,24.7314,53.89,87,74,15.52,broken clouds
127,Santa Fe,AR,2021-10-02 04:17:22,-31.6333,-60.7,61.02,63,0,1.01,clear sky
128,Lompoc,US,2021-10-02 04:15:01,34.6391,-120.4579,65.1,97,90,0.0,fog
129,Koslan,RU,2021-10-02 04:19:54,63.4564,48.8989,43.07,95,100,3.91,overcast clouds
130,Chara,RU,2021-10-02 04:19:55,56.9064,118.2631,35.73,52,33,1.07,scattered clouds
131,Doaba,PK,2021-10-02 04:19:55,33.4244,70.7364,80.19,61,6,2.42,clear sky
132,Gazanjyk,TM,2021-10-02 04:19:56,39.2446,55.5154,55.58,28,0,21.23,clear sky
133,Kodiak,US,2021-10-02 04:16:58,57.79,-152.4072,37.15,64,17,20.87,few clouds
134,Sorland,NO,2021-10-02 04:19:57,67.667,12.6934,51.67,87,100,13.65,light rain
135,Lucapa,AO,2021-10-02 04:19:57,-8.4192,20.7447,65.62,95,100,2.39,overcast clouds
136,Cidreira,BR,2021-10-02 04:19:58,-30.1811,-50.2056,60.21,91,29,7.63,scattered clouds
137,Faanui,PF,2021-10-02 04:15:41,-16.4833,-151.75,79.12,74,7,17.67,clear sky
138,Okhotsk,RU,2021-10-02 04:19:58,59.3833,143.3,35.96,90,58,0.89,broken clouds
139,San Patricio,US,2021-10-02 04:19:59,28.017,-97.5169,78.89,80,63,7.0,broken clouds
140,Sharlyk,RU,2021-10-02 04:20:00,52.9167,54.75,46.72,78,100,7.38,overcast clouds
141,Sioux Lookout,CA,2021-10-02 04:20:00,50.1001,-91.917,59.38,100,90,4.61,overcast clouds
142,Urucui,BR,2021-10-02 04:20:01,-7.2294,-44.5561,74.91,71,39,2.19,scattered clouds
143,Havelock,US,2021-10-02 04:19:25,34.8791,-76.9013,69.93,90,13,5.68,few clouds
144,Utete,TZ,2021-10-02 04:20:02,-7.986,38.758,70.5,87,18,1.07,few clouds
145,East Millcreek,US,2021-10-02 04:20:04,40.7,-111.8105,61.21,50,75,1.01,broken clouds
146,Cherdyn,RU,2021-10-02 04:20:04,60.403,56.4787,33.55,84,47,4.34,scattered clouds
147,Bredasdorp,ZA,2021-10-02 04:15:39,-34.5322,20.0403,53.28,94,49,12.66,moderate rain
148,Rikitea,PF,2021-10-02 04:15:27,-23.1203,-134.9692,73.2,68,22,21.52,few clouds
149,Chilpancingo,MX,2021-10-02 04:15:06,17.55,-99.5,65.71,97,100,3.89,overcast clouds
150,Letnyaya Stavka,RU,2021-10-02 04:20:05,45.4306,43.4472,49.73,68,100,14.43,overcast clouds
151,Albany,US,2021-10-02 04:11:02,42.6001,-73.9662,50.31,89,19,3.76,few clouds
152,Seoul,KR,2021-10-02 04:16:50,37.5683,126.9778,79.99,53,40,3.44,scattered clouds
153,Iset,RU,2021-10-02 04:20:06,56.9779,60.3718,38.71,78,100,7.52,overcast clouds
154,Trindade,BR,2021-10-02 04:19:10,-16.6494,-49.4889,69.55,58,47,4.68,scattered clouds
155,Hobart,AU,2021-10-02 04:20:07,-42.8794,147.3294,60.06,89,75,5.01,broken clouds
156,Georgetown,MY,2021-10-02 04:17:11,5.4112,100.3354,87.89,70,20,3.44,few clouds
157,Kerema,PG,2021-10-02 04:20:08,-7.9631,145.7785,82.53,79,79,8.23,light rain
158,Comodoro Rivadavia,AR,2021-10-02 04:20:08,-45.8667,-67.5,40.86,87,90,13.8,light rain
159,Tasiilaq,GL,2021-10-02 04:16:34,65.6145,-37.6368,37.56,50,6,6.22,clear sky
160,Bandrele,YT,2021-10-02 04:20:09,-12.9067,45.1914,74.95,88,0,3.44,clear sky
161,Qaanaaq,GL,2021-10-02 04:20:10,77.484,-69.3632,25.38,95,100,7.85,overcast clouds
162,Iquitos,PE,2021-10-02 04:20:10,-3.7481,-73.2472,77.04,94,75,3.44,broken clouds
163,Salinas,US,2021-10-02 04:20:11,36.6777,-121.6555,72.52,81,40,10.36,scattered clouds
164,Turtas,RU,2021-10-02 04:20:12,58.9417,69.1325,34.3,82,95,8.37,overcast clouds
165,Brae,GB,2021-10-02 04:20:12,60.3964,-1.353,49.91,79,89,25.93,overcast clouds
166,Carnarvon,AU,2021-10-02 04:20:12,-24.8667,113.6333,71.67,37,11,16.11,few clouds
167,Taltal,CL,2021-10-02 04:20:13,-25.4,-70.4833,57.67,78,5,0.76,clear sky
168,Coquimbo,CL,2021-10-02 04:19:48,-29.9533,-71.3436,53.33,93,20,3.44,few clouds
169,Hualmay,PE,2021-10-02 04:20:14,-11.0964,-77.6139,62.15,85,21,10.16,few clouds
170,Shumyachi,RU,2021-10-02 04:20:14,53.8583,32.4242,38.12,93,27,5.5,scattered clouds
171,New Richmond,US,2021-10-02 04:20:15,45.123,-92.5366,69.26,88,75,0.0,broken clouds
172,Bud,US,2021-10-02 04:20:16,39.447,-86.1758,65.34,82,48,6.87,scattered clouds
173,Lebu,CL,2021-10-02 04:16:46,-37.6167,-73.65,46.45,83,86,19.53,overcast clouds
174,Malakal,SS,2021-10-02 04:20:17,9.5334,31.6605,72.68,87,96,3.24,overcast clouds
175,Shu,KZ,2021-10-02 04:20:17,43.5983,73.7614,47.23,69,87,6.06,overcast clouds
176,Saskylakh,RU,2021-10-02 04:20:18,71.9167,114.0833,25.63,95,94,4.38,overcast clouds
177,Novyy Urengoy,RU,2021-10-02 04:20:18,66.0833,76.6333,30.6,88,100,16.96,overcast clouds
178,Gushikawa,JP,2021-10-02 04:20:19,26.3544,127.8686,86.0,58,1,14.97,clear sky
179,Boyolangu,ID,2021-10-02 04:20:19,-8.1181,111.8935,85.08,54,100,8.79,overcast clouds
180,Vao,NC,2021-10-02 04:20:20,-22.6667,167.4833,71.06,90,100,25.43,light rain
181,Washington,US,2021-10-02 04:20:21,47.5001,-120.5015,54.0,52,64,3.18,broken clouds
182,Sechura,PE,2021-10-02 04:20:21,-5.5569,-80.8222,63.77,88,9,11.43,clear sky
183,East London,ZA,2021-10-02 04:20:22,-33.0153,27.9116,59.94,88,20,11.5,few clouds
184,Krasnoselkup,RU,2021-10-02 04:20:22,65.7,82.4667,31.68,94,99,10.07,overcast clouds
185,Sitka,US,2021-10-02 04:13:09,57.0531,-135.33,48.09,71,90,28.77,moderate rain
186,Manzhouli,CN,2021-10-02 04:20:23,49.6,117.4333,45.28,44,66,9.33,broken clouds
187,Torbay,CA,2021-10-02 04:16:48,47.6666,-52.7314,56.75,99,90,11.5,light intensity drizzle
188,Meulaboh,ID,2021-10-02 04:20:24,4.1363,96.1285,83.21,65,88,0.58,overcast clouds
189,Iqaluit,CA,2021-10-02 04:20:24,63.7506,-68.5145,28.13,80,1,6.91,clear sky
190,Tuatapere,NZ,2021-10-02 04:20:25,-46.1333,167.6833,58.82,63,100,6.58,overcast clouds
191,Notre-Dame-Du-Lac,CA,2021-10-02 04:20:25,47.6136,-68.7964,44.94,98,100,3.94,overcast clouds
192,Sao Joao Da Barra,BR,2021-10-02 04:17:27,-21.6403,-41.0511,72.86,93,99,8.59,overcast clouds
193,Zhuanghe,CN,2021-10-02 04:20:26,39.7008,122.9911,67.8,41,3,5.79,clear sky
194,Cortez,US,2021-10-02 04:20:26,37.3489,-108.5859,51.69,94,1,0.0,clear sky
195,Arraial Do Cabo,BR,2021-10-02 04:16:40,-22.9661,-42.0278,69.64,96,82,13.13,light rain
196,La Ronge,CA,2021-10-02 04:20:27,55.1001,-105.2842,48.45,71,20,4.61,few clouds
197,Hvide Sande,DK,2021-10-02 04:20:28,56.0045,8.1294,54.18,72,89,8.05,overcast clouds
198,Providencia,MX,2021-10-02 04:20:28,28.7167,-111.5833,80.65,53,0,6.11,clear sky
199,Plettenberg Bay,ZA,2021-10-02 04:20:29,-34.0527,23.3716,55.44,85,87,11.52,overcast clouds
200,Martapura,ID,2021-10-02 04:20:29,-3.4167,114.85,78.89,89,40,6.91,scattered clouds
201,Faya,SA,2021-10-02 04:20:30,18.3851,42.4509,63.12,40,56,4.07,broken clouds
202,Pisco,PE,2021-10-02 04:20:31,-13.7,-76.2167,61.02,82,0,3.44,clear sky
203,Clyde River,CA,2021-10-02 04:20:32,70.4692,-68.5914,32.65,82,49,4.03,scattered clouds
204,Tezu,IN,2021-10-02 04:20:32,27.9167,96.1667,87.62,63,14,4.05,few clouds
205,Moussoro,TD,2021-10-02 04:20:33,13.6408,16.4901,84.2,17,22,9.04,few clouds
206,Saint George,US,2021-10-02 04:16:06,37.1041,-113.5841,72.36,25,1,1.99,clear sky
207,Slobozia,MD,2021-10-02 04:20:33,46.7281,29.7078,34.68,62,0,5.01,clear sky
208,Beira,MZ,2021-10-02 04:20:34,-19.8436,34.8389,68.09,100,20,4.61,few clouds
209,Santander Jimenez,MX,2021-10-02 04:20:34,24.2167,-98.4667,76.82,92,94,7.65,overcast clouds
210,Ahipara,NZ,2021-10-02 04:20:35,-35.1667,173.1667,61.38,60,1,1.3,clear sky
211,Norman Wells,CA,2021-10-02 04:18:21,65.282,-126.8329,41.04,81,75,5.75,broken clouds
212,Murray Bridge,AU,2021-10-02 04:20:36,-35.1167,139.2667,73.44,42,11,2.86,few clouds
213,Saint-Pierre,RE,2021-10-02 04:20:36,-21.3393,55.4781,76.64,59,0,4.61,clear sky
214,Hasaki,JP,2021-10-02 04:20:37,35.7333,140.8333,82.8,56,0,3.06,clear sky
215,Tanout,NE,2021-10-02 04:20:37,14.9709,8.8879,81.82,17,39,9.17,scattered clouds
216,Ende,ID,2021-10-02 04:20:38,-8.8432,121.6623,86.97,63,91,5.64,overcast clouds
217,Soria,ES,2021-10-02 04:20:38,41.6667,-2.6667,51.42,58,32,2.13,scattered clouds
218,Bam,IR,2021-10-02 04:20:39,29.106,58.357,84.81,10,18,9.33,few clouds
219,Okato,NZ,2021-10-02 04:20:39,-39.2,173.8833,58.42,67,87,7.45,overcast clouds
220,Darnah,LY,2021-10-02 04:20:40,32.767,22.6367,70.86,64,19,22.75,few clouds
221,Tateyama,JP,2021-10-02 04:20:40,34.9833,139.8667,82.67,79,81,6.69,broken clouds
222,Colonelganj,IN,2021-10-02 04:20:41,27.1333,81.7,78.13,83,88,5.53,overcast clouds
223,Tuktoyaktuk,CA,2021-10-02 04:20:41,69.4541,-133.0374,35.6,87,90,9.22,overcast clouds
224,Norrkoping,SE,2021-10-02 04:20:42,58.5942,16.1826,55.94,74,90,8.05,overcast clouds
225,Contamana,PE,2021-10-02 04:15:43,-7.3333,-75.0167,74.1,82,6,2.37,clear sky
226,Pevek,RU,2021-10-02 04:20:42,69.7008,170.3133,23.36,70,26,9.15,scattered clouds
227,Sukhinichi,RU,2021-10-02 04:20:43,54.0999,35.3425,36.97,90,29,3.78,scattered clouds
228,Chuy,UY,2021-10-02 04:16:41,-33.6971,-53.4616,50.47,86,0,6.51,clear sky
229,The Valley,AI,2021-10-02 04:20:44,18.217,-63.0578,84.06,73,94,16.22,overcast clouds
230,Maltahohe,NA,2021-10-02 04:20:44,-24.8333,16.9833,43.9,53,0,5.59,clear sky
231,Severo-Kurilsk,RU,2021-10-02 04:20:45,50.6789,156.125,49.73,96,100,14.45,moderate rain
232,Victoria,HK,2021-10-02 04:12:00,22.2855,114.1577,90.03,75,48,5.99,scattered clouds
233,Longyearbyen,SJ,2021-10-02 04:20:45,78.2186,15.6401,39.04,75,75,12.66,broken clouds
234,Gandhidham,IN,2021-10-02 04:20:07,23.0833,70.1333,83.52,71,3,9.15,clear sky
235,Ketchikan,US,2021-10-02 04:20:46,55.3422,-131.6461,50.47,93,90,51.79,mist
236,Flinders,AU,2021-10-02 04:20:47,-34.5833,150.8552,66.38,77,69,4.52,light rain
237,San Luis,AR,2021-10-02 04:19:29,-33.295,-66.3356,63.1,23,0,22.37,clear sky
238,Sembakung,ID,2021-10-02 04:20:47,3.8167,117.25,84.13,63,93,2.98,overcast clouds
239,Hithadhoo,MV,2021-10-02 04:17:19,-0.6,73.0833,82.38,73,87,7.47,overcast clouds
240,Waipawa,NZ,2021-10-02 04:20:48,-41.4122,175.5153,55.45,65,68,9.53,broken clouds
241,Yulara,AU,2021-10-02 04:17:14,-25.2406,130.9889,94.84,10,10,28.77,clear sky
